Question,Answer1,points,Answer2,points,Answer3,points,Answer4,points,Answer5,points,Answer6,points,Answer7,points
Name An Animal Or Person Who Might Spend Time In A Tree,Tarzan,22,Bird Watcher,21,Monkey,15,Tree Trimmer,9,Bird,9,Firefighter,32,Child,12
Name A Sympton That Would Cause You To Say; �I Think I�m Coming Down With Something.�,Runny Nose,19,Coughing,17,Fever,14,Sneezing,6,Sore Throat,10,Stuffy Head,9,Chills,14
Name A Food You Eat With Your Fingers,French Fries,24,Chicken,19,Hamburger,17,Cheese,8,Sandwich,8,Pizza,8,Chips,10
Name Something The Doctor Begins To Check As You Get Older.,Heart,34,Prostate,28,Blood Pressure,18,Colon,3,Vision,4,Hearing,4,Cholesterol,5
Which Profession is Least Likely To Have A Wild Night Life After Work,Doctor,36,Police,15,Teacher,11,Lawyer,6,Accountant,9,Librarian,7,Clergy,11
Name Something A Patient Might Do That Would Make A Dentist Complain?,Bite,26,Move A Lot,15,Scream,12,Not Brushing,10,Talk,11,Spit,11,Close Mouth,11
Name Something A Teenager Couldn�t Live Without,Cell Phone,49,Computer,13,Car,12,Music,3,TV,7,Money,6,Clothes,9
What Souvenir Would You Bring Back From Hawaii,Lei,57,Sand,11,Hawaiian Shirt,9,Seashell,3,Grass Skirt,6,Pineapple,4,Coconut,6
Name Someplace Were You�d See A Lot Of People Gossiping,Party,24,Mall,20,Place Of Worship,18,Work,4,School,10,Hair Saloon,5,Coffee Shop,14
Name Something A King Has; But Most Men Don�t.,Crown,53,Castle,11,Marriage to queen,10,Thrown,3,Riches,6,Servants,4,Command,6
After A Week Of Camping; What Luxury Oh Home Are You Most Excited To Have Again?,Bed,35,Shower,25,TV,13,Toilet,3,Electricity,4,Air Conditioner,4,Computer,11
Tell Me Something You�d Be Reluctant To Buy From A Rummage Sale,Underwear,10,Shoes,12,TV,10,Food,9,Car,6,Bed,5,Computer,4
Which Quality Do You Think A Boss Looks For First When Hiring A New Employee?,Appearance,5,Honesty,18,Experience,14,Personality,14,Education,51,Intelligence,9,Confidence,5
Name Something You Need In Order To Get A Great Job,Resume,10,Education,30,Experience,13,Good Looks,8,Personality,27,Intelligence,3,Connections,3
Name A Food You Cook For Which You Don�t Need To Read A Recipe,Eggs,7,Rice,19,Mac And Cheese,11,Soup,10,Spaghetti,34,Frozen Pizza,8,Cookies,6
Name A Pasttime More Respectable Than Watching Tv,Reading,9,Exercise,22,Sports,12,Crafts,9,Playing Instrument,34,Listening To Radio,3,Cooking,3
Name A Halloween Costume Adults Wear To Look Sexy.,Nurse,9,Maid,21,Devil,17,Cat,11,Witch,39,Vampire,4,Cop,3
If There Was A School For Beauty Queens; Name A Skill That Would Be Taught There.,Pageant Walk,10,Winning Smile,16,Make Up Application,16,Pageant Wave,14,Hair Styling,34,Singing,6,Correct Posture,6
Name Something A Man Wouldn�t Want To Have Happen To Him While He�s Giving A Speech,Fly Is Open,6,Burp,15,Get Laughed At,14,Break Wind,14,Being Heckled,30,Stutter,8,Coughing,8
Name A Place That You Wouldn�t Want To Go After Having A Few To Drink,Place Of Worship,7,Work,26,Police Station,13,Home,10,Parents� House,25,In Laws� House,3,Court,3
Name An Animal That Associated With Being Dirty,Pig,9,Dog,30,Rodent,10,Skunk,7,Monkey,32,Elephant,4,Cow,3
Name A Kind Of Bell,Liberty Bell,12,Door Bell,22,Church Bell,12,Wedding Bells,9,School Bell,37,Jingle Bells,9,Cow Bell,7
Name A Complaint A Pregnant Women Might Have,Clothes Don�t Fit,5,Back Pain,16,Hungry,14,Tired,14,Morning Sickness,27,Swollen Feet,10,Cramps,7
Name Something Specific Your Partner Did Early In Your Relationship That You Wish They Still Did Now?,Kiss,10,Open Doors,23,Buy Flowers,19,Hug,7,Hold Hands,24,Cook,4,Cuddle,4
Name Something A Woman Might Complain That Her Husband Never Wants To Do,Go Out,5,Clean,18,Be Intimate,4,Cook,12,Talk,27,Shop,5,Cuddle,5
What Word Would You Use To Describe A Very Attractive Person,Hot,9,Beautiful,24,Sexy,17,Pretty,6,Gorgeous,24,Handsome,4,Cute,4
Name Something About Rapunzel�S Hair She Might�Ve Worried About,Length,28,Tangles,17,Falling Out,17,Split Ends,10,Lice,28,Combing It,8,Cutting It,6
Name A TV Gameshow You Think You Have A Good Chance Of Winning,Family Feud,38,Wheel Of Fortune,5,Price Is Right,4,Millionaire,30,Lingo,3,Jeopardy,3,Deal Or No Deal,15
They�ve Cloned A Sheep: Name A Creature They Should Never Clone Because We Already Have Too Many.,Snake,16,Cat,15,Rat,13,Pigeon,15,Human,10,Dog,12,Deer,15
Name Something You Should Always Keep Secret; Even From Your Partner.,Weight,35,Affairs,12,Dating History,5,Spending,25,Real Age,4,Passwords,4,Diary,12
Name One Word That You Always See On The Covers Of Celebrity Magazines,Divorce,20,Sex/ Affair,16,Star,11,Scandal,17,Hot,8,Pregnant,8,Diet/ Weight,17
Tell Me Something You Over-Did As A Teenager; That You Can Laugh About Today.,Drinking,26,Hair Styling,9,Going Out/Partying,8,Makeup,20,Eating Junk Food,4,Smoking,8,Dieting/Exercise,20
Name A Reason Your Eyes Might Water.,Cutting onions,37,Crying,8,Allergies,7,Smoke,23,Yawning,6,Sick,6,Dirt,10
Name Something That You Might Find Around A Pool,Lounge Chair,36,Puddles,12,Towels,8,Swimmers,15,Fence,3,Lifeguard,8,Diving Board,14
Name Something That A Couple Often Does Once The Kids Have To Move Out,Travel,37,Rekindle Romance,7,Downsize,6,Retire,16,Remodel,4,Throw A Party,5,Divorce,13
What Occupation Might Someone Have If They Carry A Folder Marked �Top Secret�?,Private Investigator,28,Police Officer,12,Lawyer,8,Politician,25,Soldier,3,IRS,3,Doctor,17
Name A Place Where You Nap Just To Pass The Time,At Home,30,Work,7,Long Car/ Bus Ride,7,Airport/ Plane,24,Park,3,School,7,Doctor�s Office,18
Name Something Specific That Takes Longer To Dry; Than To Wash.,Hair,35,Jeans,11,Towels,4,Blankets,28,Car,3,Dishes,4,Dog,14
Tell Me A Word People Use To Describe Female Babies But Not Male Babies,Pretty,35,Cute,7,Beautiful,6,Princess,29,Precious,3,Adorable,4,Doll,12
Name A Famous Woman Who Speaks With An Accent To Americans.,Sophia Loren,23,Queen Elizabeth,13,Nicole Kidman,4,Madonna,21,Zsa Zsa Gabor,12,Penelope Cruz,7,Dolly Parton,16
Name Something That Lives In The Ocean That Most People Wouldn�t Eat,Squid,20,Sharks,18,Whales,6,Jellyfish,15,Octopus,16,Eel,7,Dolphins,13
Name An Animal Character That Talks In The Movies,Bugs Bunny,25,Babe,22,Mickey Mouse,5,Kermit The Frog,10,Daffy Duck,19,Porky Pig,6,Donald Duck,8
Name A Dessert You Might Not Serve At A Fancy Dinner Party.,Ice Cream,44,Jell O,23,Cookies,3,Brownies,6,Pie,15,Cupcakes,4,Donuts,4
Tell Me A Question That Twins Are Often Asked,Are You Twins?,29,Identical / Fraternal,23,Who�S Older?,3,Who�S Who?,16,Similar Names?,20,Think Alike?,3,Dress Alike?,4
Name A Kid�s Game A Grown Man Would Look Pretty Silly Playing,Hopscotch,32,Hide N Seek,17,Tag,5,Twister,11,Jump Rope,15,Musical Chairs,8,Dress Up,9
Name Something People Like To Listen To Music While Doing,Cleaning,21,Execising,18,Studying,8,Gardening,12,Eating,18,Dancing,8,Driving,10
Name A Cartoon Movie That Makes You Cry Even As An Adult,Bambi,44,Lion King,22,Cinderella,3,Fox & The Hound,7,Finding Nemo,13,Beauty & The Beast,3,Dumbo,5
Name Something You Would Need If You Were Putting On A Rock Concert.,Band,26,Stage,19,Amplifiers,5,Speakers,14,Guitar,15,Fans,7,Ear Plugs,10
Name A Body Part That Gets Clothed In Winter; But Stays Naked All Summer.,Hands,20,Legs,20,Forearms,17,Head,17,Neck,17,Feet,9,Ears,3
Name Something A Kid Might Do At The Dinner Table That Would Probably Get Him In Trouble.,Throw Food,21,Burp,20,Play With Food,14,Not Finish Food,7,Spit Out Food,9,Spill Something,14,Eat With Hands,9
If You Went On A Camping Trip By Yourself; What Might You Spend The Week Doing?,Fishing,34,Sleeping,25,Reading,17,Hiking,3,Relaxing,5,Hunting,10,Eating,3
Name Something Your Parents Look For In Your Date; Although You May Not,Money,33,Social Graces,22,Good Job,19,Appearance,3,Maturity,6,Well Dressed,13,Education,3
Name Something About His Job That Santa Claus Might Brag About.,Flying Reindeer,36,Generosity,21,Works Once A Year,12,World Travel,4,Paid In Cookies,8,Fancy Sleigh,11,Efficiency,6
Name A Food That Comes In Packs Of Six Or More,Hot Dogs,17,Pudding,17,Little Cereal Boxes,15,Beer,9,Soda,12,Yogurt,13,Eggs,12
Name A Term For Someone Who Thinks Very Highly Of Himself,Conceited,27,Arrogant,19,Cocky,17,Stuck Up,5,Snob,9,Vain,15,Egotistical,5
In The Movies; Name A Specific Place A Damsel In Distress Might Get Trapped Or Face Danger.,Train Tracks,24,Tower,20,Castle,19,A Dark Alley,7,Basement,7,Car,10,Elevator,7
Name The Most Stressful Job To Have On A Cruise Ship,Captain,52,Food Server,18,Cook,12,Housekeeper,3,Bartender,4,Lifeguard,7,Entertainer,3
Name Something That Can Make You Look Older Than Your Age.,Make Up,33,Wrinkles,30,Hair Style/ Color,17,Smoking,3,Clothes,5,Sun,8,Facial Hair,3
